Title,Rating,Year,Duration,Votes,Director,MetaScore,Predicted Rating
951. К востоку от рая,7.8,1955.0,1h,49000,Elia Kazan,72.0,7.8
952. 42-я yлица,7.3,1933.0,1h,13000,Lloyd Bacon,83.0,7.299999999999999
953. Ребята с улицы,7.8,1991.0,1h,158000,John Singleton,76.0,7.8
954. Уроки темноты,8.0,1992.0,54m,9000,Werner Herzog,0.0,8.0
955. Дни и ночи в лесу,8.1,1970.0,1h,3000,Satyajit Ray,0.0,8.1
956. Зулусы,7.7,1964.0,2h,43000,Cy Endfield,77.0,7.7
957. Бен-Гур,7.8,1925.0,2h,8000,Fred Niblo,0.0,7.8
958. Одержимость,7.6,1943.0,2h,4000,Luchino Visconti,0.0,7.599999999999999
959. Золотой век,7.2,1930.0,1h,15000,Luis Buñuel,0.0,7.199999999999999
960. Покаяние,8.1,1984.0,2h,5000,Tengiz Abuladze,0.0,8.1
961. Мое путешествие по Италии,8.2,1999.0,4h,6000,Martin Scorsese,90.0,8.2
962. Убийцы леди,7.6,1955.0,1h,32000,Alexander Mackendrick,91.0,7.599999999999999
963. Портрет девушки в огне,8.1,2019.0,2h,113000,Céline Sciamma,95.0,8.1
964. Взгляд тишины,8.3,2014.0,1h,14000,Joshua Oppenheimer,92.0,8.3
965. Ведьмина служба доставки,7.8,1989.0,1h,170000,Hayao Miyazaki,85.0,7.8
966. Цветы лиловые полей,7.7,1985.0,2h,99000,Steven Spielberg,78.0,7.7
967. Маленькая мама,7.4,2021.0,1h,18000,Céline Sciamma,93.0,7.3999999999999995
968. Ворон,7.8,1943.0,1h,11000,Henri-Georges Clouzot,0.0,7.8
969. Дочь шахтера,7.5,1980.0,2h,21000,Michael Apted,84.0,7.499999999999999
970. Голод,7.7,1966.0,1h,4000,Henning Carlsen,0.0,7.7
971. Рождественский гимн,8.1,1951.0,1h,26000,Brian Desmond Hurst,0.0,8.1
972. Вкус зеленого чая после риса,7.7,1952.0,1h,8000,Yasujirô Ozu,0.0,7.7
973. Командир,8.5,1991.0,2h,14000,Mani Ratnam,0.0,8.5
974. Истинная грусть,8.0,1997.0,1h,100000,Satoshi Kon,67.0,8.0
975. Цельнометаллическая оболочка,8.2,1987.0,1h,802000,Stanley Kubrick,78.0,8.2
976. Барон Мюнхгаузен,7.7,1962.0,1h,1000,Karel Zeman,0.0,7.7
977. Сквозь оливы,7.7,1994.0,1h,10000,Abbas Kiarostami,0.0,7.7
978. Молочные братья,8.8,1976.0,1h,21000,Ertem Egilmez,0.0,8.800000000000002
979. Бумажные цветы,7.8,1959.0,2h,8000,Guru Dutt,0.0,7.8
"980. Вперед, путешественник",7.9,1942.0,1h,19000,Irving Rapper,70.0,7.9
981. Генерал Делла Ровере,7.7,1959.0,2h,7000,Roberto Rossellini,0.0,7.7
982. Жить,8.3,1994.0,2h,21000,Yimou Zhang,0.0,8.3
983. Простая история,8.0,1999.0,1h,99000,David Lynch,86.0,8.0
984. Второй раз,7.6,1966.0,1h,23000,John Frankenheimer,71.0,7.599999999999999
985. 36 ступеней Шаолиня,7.6,1978.0,1h,19000,Chia-Liang Liu,0.0,7.599999999999999
986. Плохой день в Блэк-Роке,7.7,1955.0,1h,25000,John Sturges,0.0,7.7
987. Поговори с ней,7.9,2002.0,1h,118000,Pedro Almodóvar,86.0,7.9
988. Солнце моё,7.6,2022.0,1h,102000,Charlotte Wells,95.0,7.599999999999999
"989. Добро пожаловать, или Посторонним вход воспрещен",7.9,1964.0,1h,6000,Elem Klimov,0.0,7.9
990. Американский друг,7.4,1977.0,2h,19000,Wim Wenders,79.0,7.3999999999999995
991. Наёмный убийца,7.7,1989.0,1h,52000,John Woo,82.0,7.7
992. Одиночество бегуна на длинную дистанцию,7.5,1962.0,1h,5000,Tony Richardson,0.0,7.499999999999999
993. Чемпион,7.2,1931.0,1h,7000,King Vidor,0.0,7.199999999999999
994. Погоня,7.1,1966.0,2h,14000,Arthur Penn,0.0,7.099999999999999
995. Тосун-паша,8.9,1976.0,1h,25000,Kartal Tibet,0.0,8.900000000000002
996. The Beatles: Желтая подводная лодка,7.4,1968.0,1h,28000,George Dunning,79.0,7.3999999999999995
997. Времена Харви Милка,8.2,1984.0,1h,7000,Rob Epstein,0.0,8.2
998. Худший человек на свете,7.7,2021.0,2h,103000,Joachim Trier,91.0,7.7
999. Человек-зверь,7.5,1938.0,1h,5000,Jean Renoir,0.0,7.499999999999999
